WMC,class_BC,chemin,class,classe_LOC,classe_CLOC,classe_DC
16,0.05787037037037037,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\EntityBlockParams.java,EntityBlockParams ,54,50,0.9259259259259259
13,0.06966618287373004,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\EntityBlockResult.java,EntityBlockResult ,53,48,0.9056603773584906
128,0.0033835158150851584,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\FlowArrangement.java,FlowArrangement,411,178,0.43309002433090027
143,0.00284519402166461,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\GridArrangement.java,GridArrangement,408,166,0.4068627450980392
110,0.004842155233800142,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\LabelBlock.java,LabelBlock extends AbstractBlock,383,204,0.5326370757180157
13,0.06804733727810651,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\LengthConstraintType.java,LengthConstraintType ,52,46,0.8846153846153846
72,0.006230529595015576,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\LineBorder.java,LineBorder,214,96,0.4485981308411215
1,0.75,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\package-info.java,,4,3,0.75
117,0.0045673076923076926,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\RectangleConstraint.java,RectangleConstraint ,320,171,0.534375
47,0.012851635013565616,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\Size2D.java,Size2D,149,90,0.6040268456375839
14,0.05494505494505495,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\MonthConstants.java,MonthConstants ,65,50,0.7692307692307693
0,Infinity,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\package-info.java,,4,3,0.75
363,0.0016123426276357456,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\SerialDate.java,SerialDate,856,501,0.5852803738317757
156,0.003640392529281418,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\SpreadsheetDate.java,SpreadsheetDate extends SerialDate ,405,230,0.5679012345679012
77,0.009120093389756312,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\EncoderUtil.java,EncoderUtil ,178,125,0.702247191011236
24,0.035964912280701755,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\ImageEncoder.java,ImageEncoder ,95,82,0.8631578947368421
65,0.00979020979020979,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\ImageEncoderFactory.java,ImageEncoderFactory ,143,91,0.6363636363636364
16,0.055288461538461536,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\ImageFormat.java,ImageFormat ,52,46,0.8846153846153846
2,0.375,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\package-info.java,,4,3,0.75
48,0.01295405982905983,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\SunJPEGEncoderAdapter.java,SunJPEGEncoderAdapter,156,97,0.6217948717948718
39,0.01775147928994083,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\SunPNGEncoderAdapter.java,SunPNGEncoderAdapter,117,81,0.6923076923076923
59,0.009938770077202945,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\AxisEntity.java,AxisEntity extends ChartEntity ,191,112,0.5863874345549738
51,0.012324929971988795,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\CategoryItemEntity.java,CategoryItemEntity<R extends Comparable<R>, C extends Comparable<C>> ,175,110,0.6285714285714286
32,0.019230769230769232,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\CategoryLabelEntity.java,CategoryLabelEntity<C extends Comparable<C>> extends TickLabelEntity ,117,72,0.6153846153846154
102,0.005020876275038317,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\ChartEntity.java,ChartEntity,371,190,0.5121293800539084
15,0.05754385964912281,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\EntityCollection.java,EntityCollection ,95,82,0.8631578947368421
30,0.02115384615384615,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\FlowEntity.java,FlowEntity extends ChartEntity ,104,66,0.6346153846153846
58,0.010072595281306716,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\JFreeChartEntity.java,JFreeChartEntity extends ChartEntity ,190,111,0.5842105263157895
46,0.01383399209486166,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\LegendItemEntity.java,LegendItemEntity<S extends Comparable<S>> extends ChartEntity ,154,98,0.6363636363636364
20,0.036931818181818184,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\NodeEntity.java,NodeEntity extends ChartEntity ,88,65,0.7386363636363636
1,0.75,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\package-info.java,,4,3,0.75
60,0.010268562401263824,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\PieSectionEntity.java,PieSectionEntity<K extends Comparable<K>> extends ChartEntity ,211,130,0.6161137440758294
58,0.010072595281306716,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\entity\PlotEntity.java,PlotEntity extends ChartEntity ,190,111,0.5842105263157895
